issue,title,platform,group,release,release_converted,link,download_links,external_download_links
Mirage #011,Mirage,Commodore 64,House Designs,22 December 1991,22.12.1991,https://csdb.dk//release/?id=227992,https://csdb.dk/getinternalfile.php/240524/Mirage_11.d64,http://ftp.pokefinder.org/index.php?s=Mirage%20011&sourceid=csdb
"Mirage #02, Mirage 2, Mirage #002",Mirage,Commodore 64,Extacy,15 October 1992,15.10.1992,https://csdb.dk//release/?id=10836,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_02.zip, http://csdb.dk/getinternalfile.php/97531/Mirage_02-XTC.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20002&sourceid=csdb
Mirage Preview,Mirage,Commodore 64,Extacy,1992,01.01.1992,https://csdb.dk//release/?id=81095,http://csdb.dk/getinternalfile.php/77502/mirage_prv.zip,http://ftp.pokefinder.org/index.php?s=Mirage%20Preview&sourceid=csdb
Mis #001,Mis,Commodore 64,,1 July 1994,01.07.1994,https://csdb.dk//release/?id=228856,https://csdb.dk/getinternalfile.php/241499/Mis_01.d64,http://ftp.pokefinder.org/index.php?s=Mis%20001&sourceid=csdb
Mis #002,Mis,Commodore 64,,24 September 1994,24.09.1994,https://csdb.dk//release/?id=228857,https://csdb.dk/getinternalfile.php/241500/Mis_02.d64,http://ftp.pokefinder.org/index.php?s=Mis%20002&sourceid=csdb
Misfit #01,Misfit,Commodore 64,Vagabonds,27 November 1991,27.11.1991,https://csdb.dk//release/?id=46481,"http://csdb.dk/getinternalfile.php/37479/Misfit #01.zip, http://csdb.dk/getinternalfile.php/166738/Misfit #01 - Finally [vagabonds].d64",http://ftp.pokefinder.org/index.php?s=Misfit%2001&sourceid=csdb
Misfit #02,Misfit,Commodore 64,,4 February 1992,04.02.1992,https://csdb.dk//release/?id=80274,http://csdb.dk/getinternalfile.php/76629/misfit_02.zip,http://ftp.pokefinder.org/index.php?s=Misfit%2002&sourceid=csdb
Mish Mash #1,Mish Mash,Commodore 64,Fatum,15 June 1994,15.06.1994,https://csdb.dk//release/?id=4873,"http://csdb.dk/getinternalfile.php/195730/MishMash1-Fatum.d64, https://csdb.dk/getinternalfile.php/226249/Note_To_Mm__n.d64",http://ftp.pokefinder.org/index.php?s=Mish%20Mash%201&sourceid=csdb
Mish Mash #2,Mish Mash,Commodore 64,Samar Productions,August 1996,01.08.1996,https://csdb.dk//release/?id=5359,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mish_Mash/Mish_Mash_02.zip, http://csdb.dk/getinternalfile.php/64539/Mish_Mash_02.zip",http://ftp.pokefinder.org/index.php?s=Mish%20Mash%202&sourceid=csdb
Mish Mash #3,Mish Mash,Commodore 64,,October 1996,01.10.1996,https://csdb.dk//release/?id=5360,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mish_Mash/Mish_Mash_03.zip, http://csdb.dk/getinternalfile.php/64540/Mish_Mash_03.zip",http://ftp.pokefinder.org/index.php?s=Mish%20Mash%203&sourceid=csdb
ML Class,ML Class,Commodore 64,Venom,1990,01.01.1990,https://csdb.dk//release/?id=64768,http://csdb.dk/getinternalfile.php/56810/ml-class venom.d64,http://ftp.pokefinder.org/index.php?s=ML%20Class&sourceid=csdb
