issue,title,platform,group,release,release_converted,link,download_links,external_links
Adwarp #9,Adwarp,Commodore 64,Kreciki,november 1998,01.11.1998,https://www.pouet.net/prod.php?which=37029,http://noname.c64.org/csdb/release/download.php?id=27269,"http://csdb.dk/release/?id=9971, https://www.pouet.net/mirrors.php?which=37029"
Affinity #1,Affinity,MS-Dos,Canadian Born Coders,july 1996,01.07.1996,https://www.pouet.net/prod.php?which=22416,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-01.zip,"http://demozoo.org/productions/98873/, https://www.pouet.net/mirrors.php?which=22416"
Affinity #10,Affinity,MS-Dos,Canadian Born Coders,january 1997,01.01.1997,https://www.pouet.net/prod.php?which=22431,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-10.zip,https://www.pouet.net/mirrors.php?which=22431
Affinity #11,Affinity,MS-Dos,Canadian Born Coders,march 1997,01.03.1997,https://www.pouet.net/prod.php?which=22432,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-11.zip,https://www.pouet.net/mirrors.php?which=22432
Affinity #12,Affinity,MS-Dos,Canadian Born Coders,april 1997,01.04.1997,https://www.pouet.net/prod.php?which=22433,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-12.zip,https://www.pouet.net/mirrors.php?which=22433
Affinity #13,Affinity,MS-Dos,Canadian Born Coders,may 1997,01.05.1997,https://www.pouet.net/prod.php?which=22434,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-13.zip,https://www.pouet.net/mirrors.php?which=22434
Affinity #14,Affinity,MS-Dos,Canadian Born Coders,august 1997,01.08.1997,https://www.pouet.net/prod.php?which=22435,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-14.zip,https://www.pouet.net/mirrors.php?which=22435
Affinity #15,Affinity,MS-Dos,Canadian Born Coders,january 1998,01.01.1998,https://www.pouet.net/prod.php?which=22436,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-15.zip,https://www.pouet.net/mirrors.php?which=22436
Affinity #2,Affinity,MS-Dos,Canadian Born Coders,august 1996,01.08.1996,https://www.pouet.net/prod.php?which=22418,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-02.zip,"http://demozoo.org/productions/98996/, https://www.pouet.net/mirrors.php?which=22418"
Affinity #3,Affinity,MS-Dos,Canadian Born Coders,august 1996,01.08.1996,https://www.pouet.net/prod.php?which=22420,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-03.zip,"http://demozoo.org/productions/98997/, https://www.pouet.net/mirrors.php?which=22420"
Affinity #4,Affinity,MS-Dos,Canadian Born Coders,september 1996,01.09.1996,https://www.pouet.net/prod.php?which=22421,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-04.zip,"http://demozoo.org/productions/99027/, https://www.pouet.net/mirrors.php?which=22421"
Affinity #5,Affinity,MS-Dos,Canadian Born Coders,september 1996,01.09.1996,https://www.pouet.net/prod.php?which=22423,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-05.zip,https://www.pouet.net/mirrors.php?which=22423
Affinity #6,Affinity,MS-Dos,Canadian Born Coders,october 1996,01.10.1996,https://www.pouet.net/prod.php?which=22424,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-06.zip,https://www.pouet.net/mirrors.php?which=22424
Affinity #7,Affinity,MS-Dos,Canadian Born Coders,november 1996,01.11.1996,https://www.pouet.net/prod.php?which=22426,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-07.zip,https://www.pouet.net/mirrors.php?which=22426
Affinity #8,Affinity,MS-Dos,Canadian Born Coders,december 1996,01.12.1996,https://www.pouet.net/prod.php?which=22428,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-08.zip,https://www.pouet.net/mirrors.php?which=22428
Affinity #9,Affinity,MS-Dos,Canadian Born Coders,december 1996,01.12.1996,https://www.pouet.net/prod.php?which=22430,https://ftp.untergrund.net/users/irokos/magz/canadian_born_coders/aft-09.zip,https://www.pouet.net/mirrors.php?which=22430
AfterCover Magazine 0001,AfterCover,Atari ST/E,Checkpoint,september 1999,01.09.1999,https://www.pouet.net/prod.php?which=1291,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/ACM/ACM_0001.ZIP,"http://demozoo.org/productions/66348/, https://www.pouet.net/mirrors.php?which=1291"
Aggression Issue 1,Aggression,Amiga OCS/ECS,Cadaver,april 1994,01.04.1994,https://www.pouet.net/prod.php?which=49657,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cadaver/Cadaver-Agression1.dms,"http://demozoo.org/productions/168497/, https://www.pouet.net/mirrors.php?which=49657"
Aggression issue 2,Aggression,Amiga AGA,Cadaver,january 1994,01.01.1994,https://www.pouet.net/prod.php?which=12021,https://files.scene.org/view/mirrors/amigascne/Groups/C/Cadaver/CADAVER-Agressor2.DMS,"http://demozoo.org/productions/236278/, https://www.pouet.net/mirrors.php?which=12021"
Agnus 2,Agnus 2,Amiga OCS/ECS,Toxic Trooper,july 1992,01.07.1992,https://www.pouet.net/prod.php?which=92972,http://ftp.amigascne.org/pub/amiga/Groups/T/ToxicTrooper/TT-Agnus2.adf,"http://demozoo.org/productions/221895/, https://www.pouet.net/mirrors.php?which=92972"
Alamakota - issue #0,Alamakota,Amiga OCS/ECS,Luzers Team,may 1991,01.05.1991,https://www.pouet.net/prod.php?which=60514,https://files.scene.org/view/mags/alamakota/alamakota-issue-0-1991-luzers-pl-.zip,"http://demozoo.org/productions/249444/, https://www.pouet.net/mirrors.php?which=60514"
