issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
64'er Magazin 87 05 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 05 (1987)(Markt & Technik)(de),95,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-05_1987_Markt_Technik_de,539871,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-05_1987_Markt_Technik_de
64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side A),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-06_1987_Markt_Technik_de_Side_A,880249,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-06_1987_Markt_Technik_de_Side_A
64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side B),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-06_1987_Markt_Technik_de_Side_B,590919,English,software,,"14.04.2021, 14.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-06_1987_Markt_Technik_de_Side_B
64'er Magazin 87 07 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 07 (1987)(Markt & Technik)(de),103,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-07_1987_Markt_Technik_de,734735,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-07_1987_Markt_Technik_de
64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side A),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-08_1987_Markt_Technik_de_Side_A,732701,English,software,,"14.04.2021, 16.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-08_1987_Markt_Technik_de_Side_A
64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side B),135,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-08_1987_Markt_Technik_de_Side_B,378922,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-08_1987_Markt_Technik_de_Side_B
64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side A),81,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-09_1987_Markt_Technik_de_Side_A,594483,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-09_1987_Markt_Technik_de_Side_A
64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side B),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-09_1987_Markt_Technik_de_Side_B,819152,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-09_1987_Markt_Technik_de_Side_B
64'er Magazin 87 10 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 10 (1987)(Markt & Technik)(de),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-10_1987_Markt_Technik_de,675251,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-10_1987_Markt_Technik_de
64'er Magazin 87 11 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 11 (1987)(Markt & Technik)(de),100,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-11_1987_Markt_Technik_de,685278,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-11_1987_Markt_Technik_de
